Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:42.041 PM,18.458862,20.763388,58.716564,373.655243,26.609455,14.022665,15.119856,16.041246,5373.985352,5755.379883,4630.767090,1341.327026,2319.683105,1881.078735,209.640045,75.640411,76.606392,77.133720,0.000000
08-29-2009 : 12:24:42.045 PM,18.552427,20.956701,58.764225,370.603546,26.712238,14.297648,15.307310,16.149212,5425.663086,5828.403809,4660.922852,2711.312500,4451.735352,1492.840088,208.777664,75.369667,76.589027,77.129822,0.000000
08-29-2009 : 12:24:42.049 PM,18.916862,20.679417,59.126545,373.402679,26.778444,13.989958,15.172594,16.197048,5420.531738,5772.020508,4707.411133,5247.173828,2116.161133,862.023071,206.910660,75.462471,76.597176,77.140411,0.000000
08-29-2009 : 12:24:42.053 PM,18.706486,20.716711,59.581856,377.738007,26.565739,13.983205,15.168013,16.082499,5396.049805,5794.410156,4735.460449,854.766968,675.116760,1667.691650,211.483231,75.494919,76.570732,77.065193,0.000000
08-29-2009 : 12:24:42.057 PM,19.069708,21.116257,59.403992,374.659271,26.691013,14.129184,15.452319,16.117531,5445.329590,5837.822266,4738.843750,20.016827,608.427551,1701.116211,208.741241,75.421158,76.509178,77.107597,0.000000
08-29-2009 : 12:24:42.061 PM,18.951750,21.007704,59.071278,375.222076,26.896675,14.217536,15.351253,16.240187,5459.448242,5785.345703,4819.757324,955.040588,113.343483,2179.630371,214.910294,75.484200,76.496399,77.046219,0.000000
08-29-2009 : 12:24:42.065 PM,18.871054,20.828810,59.447407,378.279663,26.960272,14.248488,15.306206,16.359079,5437.544922,5860.393066,4756.589844,2028.357666,2488.728760,2380.180664,212.543671,75.600182,76.580231,77.039360,0.000000
08-29-2009 : 12:24:42.069 PM,18.802340,21.309410,59.812965,375.313263,26.803480,14.352866,15.201441,16.274366,5443.069336,5864.023437,4768.976074,2777.368164,2005.463257,1204.811157,210.591446,75.530609,76.539528,77.058022,0.000000
08-29-2009 : 12:24:42.073 PM,18.889854,21.159895,60.010040,377.393158,27.117182,14.435195,15.371591,16.203478,5432.245605,5861.419922,4738.331055,1859.864502,681.837891,3443.244873,213.217728,75.485733,76.605110,76.957344,0.000000
08-29-2009 : 12:24:42.077 PM,19.441891,21.034643,59.827332,377.262238,27.095699,14.254789,15.291533,16.431934,5455.773437,5804.507812,4848.457031,3841.272705,2677.179199,1341.366943,213.698273,75.343269,76.542061,76.947525,0.000000
08-29-2009 : 12:24:42.081 PM,19.174341,21.110992,59.424316,378.305664,26.610031,14.448556,15.301123,16.139803,5453.157227,5838.226562,4822.314941,719.940857,1579.512085,2594.205322,212.521774,75.502174,76.617424,77.104637,0.000000
08-29-2009 : 12:24:42.085 PM,19.540442,21.244974,60.078033,383.276245,26.878994,14.342405,15.482207,16.312620,5490.118652,5899.056152,4844.571777,10.929471,1651.403687,1682.837646,214.725037,75.373222,76.508629,77.085930,0.000000
08-29-2009 : 12:24:42.089 PM,19.507294,21.201427,59.798378,381.326660,26.944557,14.450323,15.337100,16.399307,5434.696777,5909.494629,4832.725098,3239.414307,3450.723389,2033.021362,213.669800,75.524399,76.674103,77.026390,0.000000
08-29-2009 : 12:24:42.093 PM,19.317261,21.329754,60.972034,381.676025,27.204218,14.440662,15.385250,16.459574,5440.191406,5906.421875,4777.240234,1010.972900,1292.088623,2552.342529,211.989944,75.377441,76.434113,77.056358,0.000000
08-29-2009 : 12:24:42.097 PM,19.297207,21.491398,60.578644,382.210785,27.124203,14.281574,15.259386,16.379498,5524.423340,5859.437012,4759.514160,1564.115479,757.929749,3022.718994,210.838440,75.495453,76.496605,77.278976,0.000000
08-29-2009 : 12:24:42.101 PM,19.308826,21.574484,61.344925,381.874847,27.509298,14.524981,15.615360,16.574011,5498.058105,5970.776855,4736.990234,2234.763428,1789.175415,2573.321289,217.824402,75.300957,76.315964,77.023483,0.000000
08-29-2009 : 12:24:42.105 PM,19.348309,21.420893,60.788239,382.897644,27.416950,14.536727,15.516032,16.467915,5523.456543,5933.310059,5024.585937,932.352234,2869.654297,1105.596069,213.313217,75.539734,76.550652,77.187782,0.000000
08-29-2009 : 12:24:42.109 PM,19.428144,21.410574,60.513584,382.704376,27.747179,14.511542,15.386557,16.353724,5513.854004,5900.129395,4830.338867,2450.864502,3356.449951,357.858185,213.044174,75.501472,76.572159,77.127373,0.000000
08-29-2009 : 12:24:42.113 PM,19.608004,21.541016,60.890141,382.497803,27.761375,14.553544,15.626376,16.470905,5508.866211,5946.500488,4982.653320,2265.425781,2152.850586,739.095703,214.115295,75.520821,76.617455,77.196030,0.000000
